,3 pairs in 15 nights detection loss NEO H=16.0,3 pairs in 15 nights detection loss NEO H=22.0,3 pairs in 15 nights detection loss MBA H=16.0,3 pairs in 15 nights detection loss MBA H=21.0,3 pairs in 15 nights detection loss Trojan H=14.0,3 pairs in 15 nights detection loss Trojan H=18.0,3 pairs in 15 nights detection loss TNO H=4.0,3 pairs in 15 nights detection loss TNO H=8.0,3 pairs in 30 nights detection loss NEO H=16.0,3 pairs in 30 nights detection loss NEO H=22.0,3 pairs in 30 nights detection loss MBA H=16.0,3 pairs in 30 nights detection loss MBA H=21.0,3 pairs in 30 nights detection loss Trojan H=14.0,3 pairs in 30 nights detection loss Trojan H=18.0,3 pairs in 30 nights detection loss TNO H=4.0,3 pairs in 30 nights detection loss TNO H=8.0
dcr_nham2_v1.4_10yrs,0.9238,0.5897097643585524,1.0,0.5648953474333906,1.0,0.45538019315119016,0.7482,0.4759042629210794,0.9302,0.6368764392741711,1.0,0.615118443186111,1.0,0.507070959485884,0.7538,0.5003874567884624
dcr_nham3_v1.4_10yrs,0.9252,0.5894553998914196,1.0,0.5593612978564707,1.0,0.4528577654631691,0.7484,0.4741950111137849,0.9312,0.6345355827943144,1.0,0.6091934043202826,1.0,0.5073896661913213,0.7562,0.49802635870459405
dcr_nham4_v1.4_10yrs,0.9258,0.5830078805930919,1.0,0.5539312591324352,1.0,0.44296601428627647,0.7496,0.47560339606127305,0.9308,0.6289712590749755,1.0,0.6040969551132087,1.0,0.49513127850223926,0.7564,0.5002040775153337
dcr_nham5_v1.4_10yrs,0.9258,0.5831227261723961,1.0,0.5473360043766994,1.0,0.42984707561783264,0.7472,0.4748757061276156,0.9294,0.6290977377570334,1.0,0.6000885101969191,1.0,0.48530807161383493,0.7552,0.4992442719981237
descddf_v1.4_10yrs,0.9236,0.6061877646000858,1.0,0.5863783630014813,1.0,0.48928082106382953,0.7482,0.4794418814528179,0.929,0.6454373926021009,1.0,0.63294083631469,1.0,0.5439786623361625,0.7564,0.5028731100052097
euclidddf_v1.4_10yrs,0.9222,0.5956187487630508,1.0,0.5818103344930682,1.0,0.4876371199787481,0.7502,0.48057863185935895,0.9274,0.6378925742986697,1.0,0.6299178624718464,1.0,0.5379696466633751,0.7566,0.5037765445505981
filter_load_illum10_v1.4_10yrs,0.9208,0.5954306496902747,1.0,0.5803845339477468,,,0.7472,0.4768748852273618,0.9276,0.6383635417516272,1.0,0.6286060838403652,,,0.7552,0.5012328516288094
filter_load_illum15_v1.4_10yrs,0.9206,0.596572436151268,1.0,0.5797810831371245,,,0.75,0.47642857204580513,0.9286,0.6391037449322126,1.0,0.6267328334468074,,,0.7548,0.5010656775679674
filter_load_illum20_v1.4_10yrs,0.9214,0.5950694383540769,1.0,0.5775815226231781,,,0.7484,0.4779126389826961,0.9264,0.6381204989434108,1.0,0.6248217780976674,,,0.7534,0.5002920017236979
filter_load_illum30_v1.4_10yrs,0.9212,0.5959009740842811,1.0,0.5802027971607979,,,0.7482,0.47847138491429486,0.9276,0.6381961972251404,1.0,0.6254554553707445,,,0.7542,0.5019750944397429
